,Pos,No.,Name,Club,Category,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,157th,330,Jason Hemsley,Ilkley CC,MV40,04:06:25,Second, , ,11, ,00:59:42,01:18:13,02:14:20,02:39:53,03:41:04,04:06:25
Details/Certificate,158th,299,Simon Wood,GMFRS,MV40,04:06:39,Second, , ,1, ,01:04:00,01:20:51,02:18:40,02:40:36,03:43:23,04:06:39
Details/Certificate,159th,146,Ben Yarnold,Islabikes,M,04:06:42,Second, ,N,0, ,01:01:27,01:19:20,02:16:11,02:41:35,03:42:49,04:06:42
Details/Certificate,160th,181,Thomas Selby,Royal Navy Royal marines CA,M,04:06:49,Second, ,N,0, ,01:00:26,01:19:40,02:16:29,02:41:36,03:42:02,04:06:49
Details/Certificate,161st,546,John Wood,Ilkley CC,MV50,04:06:51,Second, , ,10, ,00:59:32,01:17:58,02:13:15,02:37:35,03:41:16,04:06:51
Details/Certificate,162nd,13,Sarah Barber,North Hampshire RC,F,04:06:56,Second, , ,4, ,01:03:26,01:19:54,02:19:01,02:42:22,03:43:59,04:06:56
Details/Certificate,163rd,373,Mark Sutton,Port Sunlight Wheelers,MV40,04:07:22,Second, ,N,0, ,00:57:30,01:15:41,02:12:25,02:38:09,03:40:21,04:07:22
Details/Certificate,164th,152,Josh HartleyFacebook,Lakes Road Club,M,04:07:40,Second, ,N,0, ,00:58:46,01:17:10,02:13:08,02:39:09,03:41:36,04:07:40
Details/Certificate,165th,241,Ivan VukomanovicStrava,U/A Wilmslow,M,04:07:44,Second, , ,7, ,01:03:50,01:21:53,02:19:52,02:42:30,03:45:31,04:07:44
Details/Certificate,166th,448,Dan Gibson,U/A Manchester,MV40,04:07:48,Second, , ,2, ,01:02:02,01:19:59,02:18:43,02:42:46,03:46:15,04:07:48
Details/Certificate,167th,259,Andrew Jackson,Bowland Fell Runners,MV40,04:07:52,Second, ,N,0, ,01:02:28,01:21:34,02:15:05,02:41:06,03:39:38,04:07:52
Details/Certificate,168th,372,Dean Vessey,Plymouth Corinthians,MV40,04:08:24,Second, ,N,0, ,01:02:36,01:21:23,02:18:03,02:43:16,03:44:14,04:08:24
Details/Certificate,169th,68,George Attwood,Here Come The Belgians,MU23,04:08:25,Second, , ,1, ,00:56:38,01:13:49,02:08:45,02:48:17,03:46:26,04:08:25
Details/Certificate,170th=,471,Laurence Tendler,U/A Bollington,,,,,,,,,,,,,
Details/Certificate,170th=,362,Paul Milsom,Paul Milnes Cycles / Bradford Olympic RC,MV40,04:08:27,Second, , ,24, ,01:03:23,01:21:17,02:19:39,02:43:01,03:47:22,04:08:27
Details/Certificate,172nd,361,Mark Albone,Paceline Cycles North,MV40,04:09:03,Second, , ,2, ,01:02:40,01:20:51,02:19:32,02:43:21,03:46:35,04:09:03
Details/Certificate,173rd,322,Paul Wilson,Huddersfield Star Wheelers,MV40,04:09:41,Second,G,N,0,P/S Paul & Aaron Wilson,01:03:34,01:21:54,02:18:56,02:43:21,03:46:32,04:09:41
Details/Certificate,174th,497,Paul HeskethFacebookStrava,Clayton-le-Moors Harriers,MV50,04:10:05,Second, , ,4, ,01:02:04,01:19:28,02:18:19,02:42:22,03:45:44,04:10:05
Details/Certificate,175th,106,Jonny CrostonTwitter,Calder Clarion,M,04:10:38,Second, , ,4, ,01:00:43,01:18:34,02:17:25,02:40:57,03:48:38,04:10:38
Details/Certificate,176th,594,Colin Shearer,Velo Club Moulin,MV50,04:10:44,Second, , ,7, ,01:04:04,01:21:18,02:21:24,02:43:55,03:48:24,04:10:44
Details/Certificate,177th,338,Phil Winskill,Keswick AC,MV40,04:10:45,Second, , ,4, ,00:59:39,01:18:07,02:16:09,02:42:46,03:45:12,04:10:45
Details/Certificate,178th,451,Graeme HodgsonTwitterStrava,U/A Cleator,,,,,,,,,,,,,
Details/Certificate,179th,328,Matthew CoxInstagram,Ilkley CC,MV40,04:11:00,Second, , ,1, ,01:01:45,01:20:50,02:20:34,02:45:30,03:47:06,04:11:00
Details/Certificate,180th,171,James Evans,Pedalon,M,04:12:08,Second, ,N,0, ,01:03:00,01:20:01,02:17:07,02:48:45,03:49:59,04:12:08
Details/Certificate,181st,469,Stuart Storey,U/A Richmond-upon-Thames,MV40,04:12:23,Second, ,N,0, ,00:57:19,01:16:05,02:14:29,02:40:42,03:47:27,04:12:23
Details/Certificate,182nd,177,Robin GoddenFacebookTwitterInstagramStrava,Rapha Cycling Club,M,04:13:19,Second, ,N,0, ,01:02:22,01:20:27,02:19:02,02:46:10,03:48:34,04:13:19
Details/Certificate,183rd,645,Peter HarrisTwitterStrava,U/A Derbyshire,MV60,04:13:29,Second, ,N,0, ,00:59:27,01:17:24,02:18:40,02:45:13,03:50:06,04:13:29
Details/Certificate,184th,370,Davey Johnston,PH-Mas Paul Milnes Oldfield ERT,MV40,04:13:33,Second, , ,4, ,01:02:48,01:20:46,02:19:19,02:44:05,03:48:58,04:13:33
Details/Certificate,185th,278,Tim Russon,Common Lane Occasionals,MV40,04:13:35,Second, , ,1, ,01:02:44,01:21:40,02:19:46,02:43:54,03:47:47,04:13:35
Details/Certificate,186th,514,Bob Johnson,Gala Cycling Club,MV50,04:14:18,Second, , ,21, ,01:03:46,01:21:51,02:21:29,02:46:05,03:49:42,04:14:18
Details/Certificate,187th,245,Tony Stubbs,AlbaRosa CC,MV40,04:14:21,Second, , ,1, ,01:02:12,01:20:19,02:20:28,02:45:50,03:50:43,04:14:21
Details/Certificate,188th,194,Matthew BurtonTwitterInstagram,Stockton Wheelers,M,04:14:34,Second, , ,1, ,01:03:44,01:23:12,02:20:27,02:48:35,03:50:22,04:14:34
Details/Certificate,189th,28,Verity AppleyardTwitter,Brothertons Cycles,FV40,04:14:50,Second, , ,5, ,01:06:47,01:25:14,02:26:07,02:49:56,03:50:52,04:14:50
Details/Certificate,190th,12,Helen Jackson,Kendal CC,F,04:14:51,Second, , ,2, ,01:00:02,01:24:59,02:20:23,02:54:19,03:51:20,04:14:51
Details/Certificate,191st,274,Jough Watson,Charge Bikes,MV40,04:15:15,Second, , ,13, ,01:12:13,01:30:31,02:27:02,02:51:19,03:53:01,04:15:15
Details/Certificate,192nd,607,Adrian Brown,U/A Merthyr Tydfil,MV50,04:15:20,Second, ,N,0, ,00:59:24,01:19:51,02:16:45,02:45:23,03:48:09,04:15:20
Details/Certificate,193rd,355,James Higgins,Moray Firth Cycling Club,MV40,04:15:28,Second, ,N,0, ,00:59:28,01:16:41,02:11:01,02:46:16,03:44:18,04:15:28
Details/Certificate,194th,381,Kevin Duffell,SCOTT-UK,MV40,04:15:54,Second, , ,1, ,01:04:56,01:22:16,02:21:47,02:46:55,03:52:13,04:15:54
Details/Certificate,195th,482,Jon Bardgett,Beacon Wheelers,MV50,04:15:56,Second, , ,8, ,01:02:35,01:20:59,02:19:14,02:43:55,03:50:19,04:15:56
Details/Certificate,196th,435,Ian Blackburn,zepnat.com,MV40,04:16:21,Second, , ,2, ,01:00:23,01:20:47,02:19:31,02:44:29,03:52:28,04:16:21
Details/Certificate,197th,223,Toby CushionTwitterStrava,U/A Cockermouth,M,04:17:14,Second, , ,3, ,01:02:23,01:24:39,02:22:36,02:50:55,03:51:26,04:17:14
Details/Certificate,198th,310,Simon PatemanTwitter,Here Come The Belgians,MV40,04:17:40,Second, , ,6, ,01:01:48,01:20:31,02:21:17,02:49:32,03:53:23,04:17:40
Details/Certificate,199th,221,Dave Clark,U/A Sandbach,M,04:17:55,Second, , ,2, ,01:03:54,01:21:56,02:24:49,02:49:40,03:54:39,04:17:55
Details/Certificate,200th,76,Harry Brook-Dobson,University of Bath CC,MU23,04:18:09,Second, ,N,0, ,00:55:42,01:13:15,02:08:51,02:33:28,03:41:04,04:18:09
Details/Certificate,201st,345,Euan Adamson,Lincoln Wheelers,MV40,04:18:19,Second, ,N,0, ,01:06:16,01:24:34,02:21:38,02:46:20,03:52:01,04:18:19
Details/Certificate,202nd,192,Jim Cameron,SR Albannach,M,04:18:20,Second, ,N,0, ,01:00:08,01:19:32,02:17:31,02:45:01,03:50:15,04:18:20
Details/Certificate,203rd,83,Ian FurlongFacebook,AlbaRosa CC,M,04:18:33,Second, ,N,0, ,01:01:55,01:21:22,02:20:26,02:48:58,03:52:55,04:18:33
Details/Certificate,204th=,333,Barry MordueFacebook,In-Gear Coaching,MV40,04:18:37,Second, , ,3, ,01:02:47,01:22:41,02:22:02,02:48:56,03:51:06,04:18:37
Details/Certificate,204th=,101,Clément Stawicki,Bombtrack Bicycle / Malteni Beer,,,,,,,,,,,,,
Details/Certificate,206th,137,Patrick Hanna,Howgill Harriers,M,04:18:38,Second, , ,1, ,01:01:36,01:19:32,02:18:55,02:44:53,03:52:59,04:18:38
Details/Certificate,207th,344,Nick Walling,Leicester Forest CC,MV40,04:18:54,Second, , ,3, ,01:03:53,01:19:56,02:22:58,02:47:01,03:54:36,04:18:54
Details/Certificate,208th,518,Andrew Holgate,Harrogate Nova,MV50,04:19:09,Second, , ,3, ,01:02:52,01:21:13,02:21:03,02:47:06,03:54:03,04:19:09
Details/Certificate,209th,75,Jake Darragh,Travers Bikes / Nextie Rims,MU23,04:19:11,Second, ,N,0, ,01:06:33,01:27:30,02:28:27,02:55:27,03:54:05,04:19:11
Details/Certificate,210th,420,Andy Unsworth,votwo.co.uk,MV40,04:19:18,Second, , ,1, ,01:06:51,01:26:34,02:26:01,02:51:39,03:54:43,04:19:18
Details/Certificate,211th,237,Oliver Roberts,U/A Clapham,M,04:19:22,Second, ,N,0, ,01:05:27,01:22:32,02:22:37,02:47:26,03:54:47,04:19:22
Details/Certificate,212th,219,Sam Allsopp,U/A Settle,M,04:19:32,Second, ,N,0, ,01:08:40,01:26:50,02:26:48,02:51:24,03:56:14,04:19:32
Details/Certificate,213th,445,Martin Doddimeade,U/A Stroud,MV40,04:19:37,Second, , ,2, ,01:04:45,01:22:03,02:21:58,02:49:21,03:57:01,04:19:37
Details/Certificate,214th=,418,Mark Preston,Velo Club Lincoln,MV40,04:19:52,Second, , ,10, ,01:05:59,01:24:26,02:23:30,02:49:37,03:54:04,04:19:52
Details/Certificate,214th=,503,Kerry Graham,Cycle-Tec,MV50,04:19:52,Second, ,N,0, ,01:07:36,01:25:45,02:24:57,02:49:47,03:55:34,04:19:52
Details/Certificate,216th,262,Jason Hurt,Brother NRG Driverplan,MV40,04:19:54,Second, ,N,0, ,01:06:46,01:25:35,02:24:48,02:49:59,03:52:20,04:19:54
Details/Certificate,217th,584,John Johnson,Stratford CC / Johnsons Coaches,MV50,04:19:57,Second,G, ,20,P/S John & Richard Johnson,01:04:24,01:24:54,02:25:08,02:53:21,03:55:08,04:19:57
Details/Certificate,218th,433,Tony Mills,York Cycleworks,MV40,04:20:28,Second, , ,8, ,00:58:44,01:16:13,02:17:17,02:56:27,03:55:24,04:20:28
Details/Certificate,219th,622,Steve Robinson,U/A Danby Wiske,,,,,,,,,,,,,
Details/Certificate,220th,360,Steve Renshaw,Otley CC,MV40,04:21:24,Second, , ,1, ,01:06:31,01:21:58,02:26:16,02:49:43,03:59:15,04:21:24
Details/Certificate,221st,428,Peter Fielding-Smith,Wilsons wheels rt,MV40,04:21:35,Second, , ,8, ,01:01:09,01:20:55,02:18:47,02:51:59,03:55:00,04:21:35
Details/Certificate,222nd,583,Chris Dobson,Stockton Wheelers,MV50,04:21:44,Second, , ,4, ,01:04:24,01:24:03,02:23:38,02:49:55,03:55:21,04:21:44
Details/Certificate,223rd,161,Joseph Moore,Millom Velo Club,M,04:21:49,Second,G,N,0,P/S Alan & Joseph Moore,01:06:24,01:23:42,02:29:22,02:54:08,03:58:53,04:21:49
Details/Certificate,224th,87,Guy Nevison,Army Cycling Union,M,04:21:51,Second, ,N,0, ,01:07:21,01:26:06,02:26:16,02:49:49,03:58:54,04:21:51
Details/Certificate,225th,323,George Roberts,Icarus Racing,MV40,04:22:02,Second, ,N,0, ,01:04:12,01:23:02,02:21:37,02:47:45,03:55:08,04:22:02
Details/Certificate,226th,476,Philip Wilson,U/A Menston,,,,,,,,,,,,,
Details/Certificate,227th,173,John Rollason,Plymouth Corinthians,M,04:22:22,Second, ,N,0, ,00:57:38,01:14:59,02:07:53,02:56:19,03:49:37,04:22:22
Details/Certificate,228th,158,Florent CarrièreFacebookTwitterInstagramStrava,Malteni,,,,,,,,,,,,,
Details/Certificate,229th,437,Fraser Malloch,zepnat.com,MV40,04:22:35,Second, , ,2, ,01:06:44,01:24:31,02:25:29,02:49:21,03:58:42,04:22:35
Details/Certificate,230th,3,Hannah Saville,Cyclocrossrider.com,FU23,04:22:36,Second,G, ,3,P/D Kev & Hannah Saville,01:08:12,01:26:33,02:29:23,02:54:11,03:59:40,04:22:36
Details/Certificate,231st,335,Richard Naylar,Keep Pedalling Bike Shop,MV40,04:22:39,Second, , ,4, ,01:05:08,01:24:51,02:25:23,02:51:24,03:56:34,04:22:39
Details/Certificate,232nd,599,Andrew SlatteryFacebookTwitterStravaPower Of Ten,Wheelbase Altura MGD,MV50,04:22:57,Second, , ,2, ,01:06:21,01:24:53,02:25:33,02:51:31,03:56:37,04:22:57
Details/Certificate,233rd,73,Hamish Carrick,TBW Bottecchia Wogmore RT,MU23,04:23:20,Second, ,N,0, ,00:59:17,01:20:42,02:16:51,02:56:10,03:55:41,04:23:20
Details/Certificate,234th,244,Owen Davies,Abergavenny RC,MV40,04:23:21,Second, , ,4, ,01:02:30,01:21:01,02:21:04,02:49:59,03:58:28,04:23:21
Details/Certificate,235th,89,Charles Vincent,Ascendancy Water,M,04:23:44,Second, , ,4, ,01:01:34,01:19:25,02:21:12,02:48:53,03:58:18,04:23:44
Details/Certificate,236th,462,Rob O'Neill,U/A Arnside,MV40,04:24:32,Second, ,N,0, ,01:05:16,01:26:44,02:27:49,02:55:21,04:01:34,04:24:32
Details/Certificate,237th,587,Andrew BurgessFacebookTwitterInstagramStrava,Team JMC,MV50,04:24:45,Second, , ,6, ,01:08:42,01:28:01,02:29:53,02:55:21,04:00:34,04:24:45
Details/Certificate,238th,143,Mark Richmond,Ilkley Cycles,M,04:25:11,Second, , ,6, ,00:59:37,01:17:20,02:22:31,02:48:45,03:58:46,04:25:11
Details/Certificate,239th,560,Eamon Mcconvey,Newry CC,MV50,04:25:13,Second, , ,5, ,01:03:56,01:23:03,02:24:01,02:50:55,03:58:02,04:25:13
Details/Certificate,240th,353,Antony HallTwitterInstagram,MlCCC,MV40,04:25:16,Second, , ,1, ,01:10:41,01:30:27,02:31:12,02:57:46,04:01:04,04:25:16
Details/Certificate,241st,347,Matt Yardley,Macclesfield Wheelers,MV40,04:25:25,Second, , ,2, ,01:07:52,01:27:02,02:29:40,02:54:30,04:01:19,04:25:25
Details/Certificate,242nd,519,Charles Warren,Harrogate Nova,MV50,04:25:27,Second, , ,8, ,01:03:19,01:21:59,02:22:48,02:51:54,03:57:57,04:25:27
Details/Certificate,243rd,129,Steve James,Hope Factory Racing,M,04:25:32,Second, ,N,0, ,01:06:24,01:32:21,02:34:34,03:00:44,04:00:56,04:25:32
Details/Certificate,244th,453,Adam Jackson,U/A Wigton Cumbria,MV40,04:25:41,Second, , ,6, ,01:08:23,01:28:11,02:29:47,02:55:18,04:00:38,04:25:41
Details/Certificate,245th,351,Mark Hayman,Martica Bike Team,,,,,,,,,,,,,
Details/Certificate,246th,288,William Speake,Derby Mercury,MV40,04:25:50,Second, , ,2, ,01:06:53,01:26:28,02:26:21,02:53:36,03:58:10,04:25:50
Details/Certificate,247th,464,Derek Queenan,U/A Cleveland,MV40,04:26:08,Second, ,N,0, ,01:12:21,01:32:51,02:33:40,02:59:51,04:03:11,04:26:08
Details/Certificate,248th,483,Richard HodgesStrava,Beara Cycling Club Ireland,MV50,04:26:10,Second, ,N,0, ,01:08:02,01:28:42,02:28:46,02:56:42,04:00:12,04:26:10
Details/Certificate,249th,488,Jim Davies,Borrowdale fellrunners,MV50,04:26:38,Second, ,N,0, ,00:53:54,01:27:23,02:22:20,02:49:34,03:49:14,04:26:38
Details/Certificate,250th,140,Tom Asher,Ilkley CC,M,04:26:41,Second, ,N,0, ,01:03:40,01:25:51,02:24:53,02:54:12,03:58:13,04:26:41
Details/Certificate,251st,528,Desmond ThorpeFacebookTwitterStrava,High Peak Cycles,MV50,04:26:44,Second, , ,13, ,01:06:19,01:25:44,02:25:56,02:52:51,03:53:09,04:26:44
Details/Certificate,252nd,589,Keith Binns,TN715,MV50,04:26:45,Second, , ,3, ,01:03:09,01:24:17,02:23:14,02:51:27,03:59:23,04:26:45
Details/Certificate,253rd,242,Jon Waller,U/A Oughtibridge,M,04:26:49,Second, ,N,0, ,01:04:50,01:24:18,02:26:22,02:53:48,04:00:44,04:26:49
Details/Certificate,254th,394,Kevin Stronach,Stowmarket District CC,MV40,04:27:06,Second, ,N,0, ,01:03:41,01:23:53,02:21:51,02:51:34,03:58:07,04:27:06
Details/Certificate,255th,179,Samuel Pantling,Ride4MB Morvelo Test Team,M,04:27:27,Second, , ,3, ,01:05:21,01:22:03,02:24:40,02:59:04,04:04:51,04:27:27
Details/Certificate,256th,352,Stephen Handley,Mid Shropshire Wheelers,MV40,04:27:28,Second, ,N,0, ,01:02:13,01:21:01,02:16:41,02:58:57,04:00:52,04:27:28
Details/Certificate,257th=,354,Rob Mawer,Moonglu CC,MV40,04:27:31,Second, ,N,0, ,01:04:38,01:24:32,02:25:22,02:52:13,03:59:36,04:27:31
Details/Certificate,257th=,165,Niall Tobin,Norton Wheelers,M,04:27:31,Second, ,N,0, ,01:07:03,01:27:50,02:26:17,02:54:26,04:00:46,04:27:31
Details/Certificate,259th,316,Dan HemingwayTwitterInstagram,Hope Factory Racing,MV40,04:27:35,Second, ,N,0, ,01:06:01,01:22:10,02:24:26,02:46:57,03:51:48,04:27:35
Details/Certificate,260th,126,Robin Powell,Here Come The Belgians,M,04:27:37,Second, , ,1, ,01:06:10,01:25:17,02:26:36,02:53:31,04:02:46,04:27:37
Details/Certificate,261st,402,Marcus Nainby,Team WNT,MV40,04:27:50,Second, , ,2, ,01:09:09,01:27:32,02:31:05,02:55:14,04:05:03,04:27:50
Details/Certificate,262nd,512,Paul Jenkinson,Eryri harriers,MV50,04:27:56,Second, , ,2, ,01:07:27,01:28:55,02:29:17,02:56:14,04:01:48,04:27:56
Details/Certificate,263rd,392,James PowleslandStrava,South Shields Velo,MV40,04:27:57,Second, , ,3, ,01:06:36,01:24:33,02:27:39,02:52:02,04:03:29,04:27:57
Details/Certificate,264th,131,Ashton Payne,Hope Factory Racing,M,04:28:06,Second, , ,5, ,01:05:03,01:30:03,02:31:39,02:55:33,04:04:48,04:28:06
Details/Certificate,265th,319,Peter Dukes,Huddersfield Star Wheelers,MV40,04:28:12,Second, , ,3, ,01:07:25,01:26:37,02:26:14,02:54:17,04:02:56,04:28:12
Details/Certificate,266th,103,Darren Otoole,Bray Wheelers,,,,,,,,,,,,,
Details/Certificate,267th,526,Todd Stewart,Here Come The Belgians,MV50,04:28:32,Second, , ,4, ,01:11:54,01:31:06,02:34:16,03:00:46,04:04:22,04:28:32
Details/Certificate,268th,176,Ben ClareFacebookTwitterStrava,Queensbury Running Club,M,04:29:14,Second, , ,2, ,01:04:35,01:22:44,02:26:29,02:54:05,04:03:35,04:29:14
Details/Certificate,269th,564,Michael Hopkinson,Otley CC,MV50,04:29:16,Second, ,N,0, ,01:02:51,01:20:54,02:17:51,02:41:57,03:46:49,04:29:16
Details/Certificate,270th,635,Clifford Featherstone,MTS,MV60,04:29:25,Second, , ,13, ,01:11:04,01:30:37,02:35:13,03:00:40,04:06:01,04:29:25
Details/Certificate,271st,411,Paul Jackson,TNFC,MV40,04:29:45,Second, ,N,0, ,01:03:49,01:19:37,02:23:58,02:51:39,04:03:33,04:29:45
Details/Certificate,272nd,432,Mark Mckie,York Cycleworks,MV40,04:29:53,Second, , ,4, ,01:09:36,01:30:44,02:32:44,03:00:32,04:04:30,04:29:53
Details/Certificate,273rd,339,Stuart TaylorFacebookTwitterInstagramStrava,Kirkby Lonsdale World Racing,MV40,04:29:54,Second, ,N,0, ,01:06:28,01:24:21,02:30:04,02:54:42,04:06:50,04:29:54
Details/Certificate,274th,45,Karen Poole,Sportstest RT,FV40,04:30:14,Second, , ,1, ,01:04:55,01:24:03,02:27:14,02:55:32,04:05:50,04:30:14
Details/Certificate,275th,440,Richard Barnes,U/A Sarrancolin,,,,,,,,,,,,,
Details/Certificate,276th,233,Paul Matthews,U/A Stockton-on-Tees,M,04:30:18,Second, ,N,0, ,01:05:04,01:24:27,02:25:16,02:57:56,04:05:01,04:30:18
Details/Certificate,277th,306,Dave Ward,Hayfield Hub,MV40,04:30:46,Second, , ,3, ,01:06:14,01:25:13,02:28:24,02:54:39,04:04:37,04:30:46
Details/Certificate,278th,426,Christopher Riley,Will's Wheels CC,MV40,04:31:50,Second, , ,13, ,01:11:53,01:34:38,02:35:28,03:02:50,04:06:39,04:31:50
Details/Certificate,279th,133,Sam Sharp,Hope Factory Racing,M,04:32:05,Second, , ,1, ,01:01:55,01:16:34,02:23:37,02:48:40,04:05:32,04:32:05
Details/Certificate,280th,38,Ruth Gamwell,Macclesfield Wheelers,FV40,04:32:07,Second, , ,18, ,01:10:23,01:31:16,02:33:55,03:01:51,04:07:25,04:32:07
Details/Certificate,281st,289,Mark Winks,Didcot Phoenix,MV40,04:32:28,Second, ,N,0, ,01:06:42,01:27:36,02:29:04,02:59:04,04:04:07,04:32:28
Details/Certificate,282nd,290,Adam PridmoreFacebookTwitterStrava,EBCC,MV40,04:32:33,Second, , ,3, ,01:08:16,01:28:57,02:31:38,03:00:26,04:06:58,04:32:33
Details/Certificate,283rd,277,Richard Roberts,Clwb Beicio'r Bala,MV40,04:32:34,Second, , ,3, ,01:07:37,01:26:38,02:30:48,02:57:30,04:09:10,04:32:34
Details/Certificate,284th,63,Tobias Edwards,Huddersfield Star Wheelers,MU18,04:32:37,Second,G,N,0,P/S Richard & Tobias Edwards,01:07:10,01:28:13,02:30:32,03:00:29,04:07:11,04:32:37
Details/Certificate,285th,614,Jonathan Lee,U/A Newcastle,MV50,04:32:51,Second, , ,5, ,01:06:27,01:26:28,02:25:59,02:54:31,04:05:37,04:32:51
Details/Certificate,286th,100,Mathieu Davy,Black Line London,M,04:33:12,Second, ,N,0, ,01:09:49,01:34:51,02:30:16,03:04:29,04:05:54,04:33:12
Details/Certificate,287th,33,Hannah (Nina) Benson,Ilkley CC,FV40,04:33:25,Second, , ,1, ,01:08:36,01:31:46,02:32:51,03:02:27,04:07:32,04:33:25
Details/Certificate,288th,123,Karl MasonFacebookTwitterStrava,Giant Kendal,M,04:33:39,Second, , ,3, ,01:06:26,01:23:17,02:29:30,02:54:05,04:09:09,04:33:39
Details/Certificate,289th,272,Simon NurseTwitter,Cardiff JIF/Cyclopaedia,MV40,04:33:50,Second, , ,10, ,01:08:57,01:28:02,02:31:55,03:00:02,04:09:19,04:33:50
Details/Certificate,290th,300,Nicholas Pullen,Gravelface,MV40,04:33:59,Second, , ,8, ,01:08:23,01:28:31,02:32:34,03:00:41,04:08:54,04:33:59
Details/Certificate,291st,19,Adeline MoreauTwitterInstagramStrava,The 5th floor,F,04:34:21,Second, , ,1, ,01:08:14,01:30:30,02:30:52,02:59:59,04:06:04,04:34:21
Details/Certificate,292nd,421,Dean BarnettFacebookTwitter,Welland Valley CC,MV40,04:34:55,Second, , ,15, ,01:11:40,01:28:50,02:37:38,03:00:54,04:13:21,04:34:55
Details/Certificate,293rd,501,Tim Duckett,Cycle Club Ashwell,MV50,04:34:58,Second, , ,1, ,01:09:13,01:30:32,02:33:07,03:01:31,04:08:20,04:34:58
Details/Certificate,294th,7,Clare Dallimore,Cardiff AJAX,F,04:34:59,Second, , ,1, ,01:09:35,01:30:56,02:36:26,03:04:35,04:09:54,04:34:59
Details/Certificate,295th,596,Stuart Minnikin,W.Yorks Fire & Rescue Service,MV50,04:35:25,Second, , ,1, ,01:09:40,01:30:06,02:38:12,03:03:55,04:11:01,04:35:25
Details/Certificate,296th,287,Ben Patton,Deeside Thistle CC,MV40,04:35:34,Second, , ,5, ,01:05:22,01:25:08,02:30:18,02:58:33,04:09:00,04:35:34
Details/Certificate,297th,88,Fran Rizzuti,Army Cycling Union,M,04:35:55,Second, ,N,0, ,01:05:07,01:26:39,02:25:50,02:54:22,04:00:06,04:35:55
Details/Certificate,298th,247,Ian Drake,Ashfield RC,MV40,04:36:03,Second, , ,12, ,01:10:45,01:31:59,02:35:59,03:04:44,04:11:43,04:36:03
Details/Certificate,299th,537,Julian Holroyd,Huddersfield Star Wheelers,MV50,04:36:51,Second, , ,1, ,01:11:01,01:32:50,02:36:01,03:04:04,04:11:32,04:36:51
Details/Certificate,300th,230,James HollowayInstagramStrava,U/A Market Deeping,,,,,,,,,,,,,
Details/Certificate,301st,566,Ian Cullen,Otley CC / Chevin Cycles,MV50,04:37:41,Second, , ,24, ,01:07:20,01:28:11,02:31:55,03:01:56,04:11:24,04:37:41
Details/Certificate,302nd,568,Tim Howcroft,Otley CC / Chevin Cycles,MV50,04:37:43,Second, , ,6, ,01:09:32,01:31:44,02:35:19,03:04:24,04:11:31,04:37:43
Details/Certificate,303rd,108,Joseph Halloran,Cambridge Cycling Club,M,04:38:36,Second, ,N,0, ,01:15:08,01:35:27,02:38:41,03:06:08,04:14:30,04:38:36
Details/Certificate,304th,570,Rob Muirhead,Overoptimists,MV50,04:39:26,Second, , ,3, ,01:08:46,01:27:07,02:32:29,02:58:01,04:11:12,04:39:26
Details/Certificate,305th,307,Anthony EmmetFacebookTwitter,Helm Hill Runners,MV40,04:39:58,Second, ,N,0, ,01:13:00,01:33:08,02:35:59,03:02:23,04:13:00,04:39:58
Details/Certificate,306th,132,Matt Rushton,Hope Factory Racing,M,04:40:05,Second, , ,1, ,01:09:15,01:24:59,02:32:33,02:55:39,04:14:10,04:40:05
Details/Certificate,307th,324,Jason Bishop,Ilkley CC,MV40,04:40:10,Second, ,N,0, ,01:08:19,01:29:06,02:35:38,03:04:16,04:13:05,04:40:10
Details/Certificate,308th,417,Clayton Maltby,Velo Club Lincoln,MV40,04:40:27,Second, , ,8, ,01:15:09,01:34:51,02:39:03,03:05:59,04:16:53,04:40:27
Details/Certificate,309th,442,Stuart Clark,U/A Basildon,MV40,04:40:30,Second, , ,3, ,01:10:18,01:32:53,02:36:57,03:08:45,04:14:39,04:40:30
Details/Certificate,310th,286,Jens Dr. Freiberg,Das Dreckige Dutzend Germany,MV40,04:40:31,Second, ,N,0, ,01:07:48,01:31:55,02:33:56,03:06:25,04:12:23,04:40:31
Details/Certificate,311th,51,Anne Duffy,Cuchulainn CC,FV50,04:40:55,Second, , ,1, ,01:13:53,01:34:55,02:40:32,03:10:02,04:15:41,04:40:55
Details/Certificate,312th,449,Kevin Harley-Roberts,U/A Leeds,MV40,04:40:59,Second, ,N,0, ,01:11:18,01:32:24,02:36:42,03:03:51,04:13:03,04:40:59
Details/Certificate,313th,608,Ian Cooke,U/A Pontefract,MV50,04:41:00,Second, , ,1, ,01:07:29,01:28:23,02:31:59,03:01:19,04:11:47,04:41:00
Details/Certificate,314th,582,Sean McKibben,Skipton Cycling Club,MV50,04:41:21,Second, , ,8, ,01:12:43,01:34:05,02:38:28,03:07:38,04:15:12,04:41:21
Details/Certificate,315th,454,Gareth JefferiesStrava,U/A St Jean d'Aulps,,,,,,,,,,,,,
Details/Certificate,316th,492,Kevin Hickie,Bronte Wheelers,MV50,04:41:37,Second, , ,7, ,01:14:02,01:36:55,02:41:45,03:09:38,04:17:01,04:41:37
